geo,time,PaidSearch_impression,PaidSocial_impression,OTA_impression,PaidDisplay_impression,Competitor_Sales,GQV,PaidSearch_spend,PaidSocial_spend,OTA_spend,PaidDisplay_spend,Organic_channel0_impression,Promo,conversions,revenue_per_conversion,population
Azalea,2024-01-01,14282.923312638331,10882.93152152541,7391.914675132772,10051.846136581831,1860.9746921562614,32712.800217929824,1399.3428306022465,1179.2603548243223,864.7688538100692,1082.763582768963,18591.576842195143,0,359,98.6140394234507,1000000
Azalea,2024-01-08,14028.796581440414,10648.328099146296,4539.013005084439,7385.920266319966,2118.2699065638803,42797.44015518896,1206.8540492859486,1322.466762142699,647.6124002384139,848.6344722988518,21793.161400737823,0,359,102.33951833556472,1000000
Azalea,2024-01-15,14151.7185318259,10471.14453552205,6165.398183847439,9612.122979281245,1601.5441853304708,20201.64938060112,1179.872262016239,1156.2459375310084,739.8293387770603,1122.2733821410725,20626.590785014265,1,290,109.88097705125016,1000000
Azalea,2024-01-22,13608.352893231557,11386.850208416841,6943.96633266,6471.516590761145,2040.3286647884065,24347.238476592167,1339.3722471738247,1232.7957474080795,888.1761038948611,778.9097588561871,17358.22620185868,1,272,78.35477896558969,1000000
Azalea,2024-01-29,13555.77843765438,10845.393812074393,7324.17864741783,9496.000579494439,1668.0995077981916,29071.705116680914,1164.6155999388084,1291.7514433261301,903.099952249595,1011.7536142939439,18562.47728646413,0,297,103.69008621098459,1000000
Azalea,2024-02-05,13126.90183415436,11190.972311668513,6440.811379575447,10499.71911790692,1981.740773757576,28006.808049923995,1060.7586751838658,1044.3255185226776,792.4196254971814,1016.7556240506945,17238.827584797873,0,304,76.41431335590305,1000000
Azalea,2024-02-12,15138.947022370758,8759.511518961837,5981.714408862033,8284.978759798872,1841.0719388698883,31643.75554829842,1318.3521553071005,901.8646628098661,778.0328112162488,942.8535085814095,22746.206353106223,1,283,99.27040088620429,1000000
Azalea,2024-02-19,14216.087137933619,11636.866810069778,6850.914600971494,6760.768983666653,1913.2589430590174,28022.417742098532,1402.6534866226712,1153.6067180333134,867.3125502773975,869.2043780768935,21036.5538316663,0,356,117.43093667606337,1000000
Azalea,2024-02-26,13440.614392350479,10986.743062275391,6624.109375560519,9004.895255966654,1989.586469088427,31507.73671166806,1677.237180242106,1226.1866719247757,825.7550390722764,891.06649010806,19422.917105656634,1,308,85.89248721801752,1000000
Azalea,2024-03-04,13487.180569179463,11539.598494003678,7436.210410758969,6881.769601770423,2276.948782502586,27532.837588983366,1066.2643924760937,1083.6995841064584,877.3140855889249,803.7806587980367,20230.684845753713,0,301,76.83488136996438,1000000
Azalea,2024-03-11,11418.69564832438,11774.96720250877,5315.181041318245,8482.655218603726,2068.2379803812387,23845.678417830226,989.8673137867735,1210.284446220904,693.7696286273895,956.8310916762218,22440.55165210901,0,364,85.88335309052033,1000000
Azalea,2024-03-18,13966.426921975224,10148.758251229876,7717.703043984945,9593.863867205197,1634.9435322922282,30874.165059957355,1561.4285508564856,983.9937828474303,919.072725611364,1055.9276177117385,22542.204297729917,0,387,104.33825667761703,1000000
Azalea,2024-03-25,13742.45205607659,11206.39046346825,7573.49451120427,7972.380289241732,1733.145671112343,26231.31917821255,1105.0636659545357,1318.0626905613678,915.8595579007404,801.5181217977947,19263.835651991387,1,276,92.68939761000422,1000000
Azalea,2024-04-01,13688.938031158921,10296.797366409226,6820.009106125153,10667.96968136023,1958.8184548706552,30209.900322350113,1136.8379430069124,1381.4072956029952,853.7960003691995,1228.130659087409,22931.54000243922,0,301,117.32063629588114,1000000
Azalea,2024-04-08,13976.603140965797,10242.576387657067,6644.63561403873,8363.904292059966,2051.9542777553547,23771.30610644006,1255.3074429348299,1307.100074113814,847.3237624573545,891.2605304811752,20642.28123239061,0,317,79.37294221968459,1000000
Azalea,2024-04-15,14933.099272048868,10520.49595178661,6855.690068835292,9404.291714255913,2077.162247294032,31522.245599354264,1377.0634759457673,1358.6135263293563,805.1360859479636,1004.6936589192544,18188.286882546414,1,338,98.0104079487422,1000000
Azalea,2024-04-22,14242.365377679827,11379.484610246634,6931.35384643329,8708.775108714259,2694.397570002053,30409.37069693161,1414.1781021386334,1370.33484602709,895.4001763493202,978.1669501566957,18543.90935651269,0,422,101.58749672560549,1000000
Azalea,2024-04-29,11182.839037815347,10935.1077620875,5750.884660021401,10740.824935380493,2248.6297932814623,36817.17745475852,926.5469614816504,1066.0319589556166,766.5182752605266,1087.2456169359455,25530.241274961598,1,338,98.2335156735538,1000000
Azalea,2024-05-06,14264.206124046097,11432.87759708506,5405.894487137107,7842.284148879369,2529.636272084329,26733.353837131443,1167.6427070463224,1327.8650002194336,720.7479261567299,886.2316270239721,18575.164066517133,0,269,87.59702536256742,1000000
Azalea,2024-05-13,15321.857898875924,10634.629298385173,7337.104869204653,6572.064908090563,1720.2225030316756,29902.789295502258,1380.9963421921912,1256.5944398190613,965.135098647949,740.7801880636923,25616.01704141691,0,336,82.79408414595068,1000000
Azalea,2024-05-20,15120.636644533057,9136.85685746933,6396.913536288901,8245.293047876812,2059.717908672041,32310.517371316353,1626.482260786327,985.4787933059051,755.9955513303016,915.688869274331,17055.474046856147,0,271,101.35990115730584,1000000
Azalea,2024-05-27,15215.13831562702,9497.358782649999,7445.7243340338955,7611.3864840483375,2062.279478385716,27567.8361697382,1179.956624568241,915.3934526267013,928.0540761677464,826.1839586674404,19674.50633430946,0,393,113.01938899362545,1000000
Azalea,2024-06-03,14635.324521050517,11153.649760438304,6929.471024423726,7603.509173887938,2224.1880815369786,27199.09479901515,1182.1270486111578,1327.4403145531537,835.7015485965047,816.8508485687215,17513.014967233783,1,340,93.56779546101419,1000000
Azalea,2024-06-10,14180.241062262861,10792.238231342533,7408.036770989159,9781.947161535762,2284.7428963342995,27384.05953206445,1422.0740530866929,1099.6195907728181,916.1937317746774,1086.343173100719,22792.802251922236,1,440,92.51407554303734,1000000
Azalea,2024-06-17,13990.889658383263,12046.19363784273,6175.791557544264,8257.094142356773,2187.2359451156467,33958.31346981468,1364.8332704976883,1180.4785418448473,809.6995964992718,971.4188430524297,23474.332620500205,0,408,97.24891371161617,1000000
Azalea,2024-06-24,14801.90652568813,9171.894047792292,8223.70944968337,7592.8587273063,2261.762477429144,32795.546013072635,1425.6691018528559,886.497337705458,977.0431516566719,862.9088988963694,20611.4681825824,0,272,78.81769713383363,1000000
Azalea,2024-07-01,12280.051363205424,10626.482446909944,6082.542509958657,7805.501664165835,1994.446059202283,24987.353176810957,1010.3831317005352,988.8804338435167,728.1555778747564,874.3863417945784,19942.951376291934,0,348,80.34680623206323,1000000
Azalea,2024-07-08,14444.436503065872,10277.195013763958,6763.44940711591,8494.820907851972,2295.0512919075395,30348.263322594394,1242.2682722159723,1390.6707338971373,877.086310146404,959.1223780560487,21373.029363286518,1,332,78.32084541309295,1000000
Azalea,2024-07-15,15476.591228755779,10616.326218555976,7822.611077252237,9209.349294467364,1748.0834473457671,25958.508573224244,1304.9020348517886,1274.6997436868176,945.1143607795042,1015.1124991302248,26569.408799653018,0,339,90.90085026117238,1000000
Azalea,2024-07-22,14646.719560940952,9501.921732668405,7132.97875467313,8997.152492497898,1915.3336433038367,29631.94442104047,1180.1214709111955,913.0940224403671,836.2476458805302,968.5617012392146,19603.10166817261,1,376,119.4274258191725,1000000
Azalea,2024-07-29,10691.26330078471,10700.312488523114,6309.94123371336,9455.633854437236,1679.7138711852217,33114.24966173749,957.3730941818245,1403.0808561248118,788.5460154747382,1048.5379574368153,18649.80358556227,1,356,102.27785855028961,1000000
